DIRECCION,Fecha_Descarga,CDD,ADDON,Soportes,Instalaciones,Recolecciones
NORTE-NORESTE,20/11/2021,603,1684,836,2210,3757
NORTE-NORESTE,21/11/2021,630,1813,773,1904,3786
NORTE-NORESTE,22/11/2021,587,1726,593,1496,3815
NORTE-NORESTE,23/11/2021,579,1702,719,1717,3766
NORTE-NORESTE,24/11/2021,555,1717,809,1752,3819
NORTE-NORESTE,25/11/2021,533,1495,831,1892,3774
NORTE-NORESTE,26/11/2021,534,1404,813,2039,3769
NORTE-NORESTE,27/11/2021,542,1302,772,1991,3822
NORTE-NORESTE,28/11/2021,510,1192,788,1843,3825
NORTE-NORESTE,29/11/2021,498,1163,695,1600,3756
NORTE-NORESTE,30/11/2021,521,1140,825,1885,3743
NORTE-NORESTE,01/12/2021,555,1252,912,1717,3839
NORTE-NORESTE,02/12/2021,618,1342,967,1916,3829
NORTE-NORESTE,03/12/2021,630,1387,1007,1829,3874
NORTE-NORESTE,04/12/2021,626,1263,977,1869,3844
NORTE-NORESTE,05/12/2021,562,1172,869,1691,3768
NORTE-NORESTE,06/12/2021,518,1113,871,1491,3651
NORTE-NORESTE,07/12/2021,534,1234,1018,1759,3529
NORTE-NORESTE,08/12/2021,510,1226,961,1860,3537
NORTE-NORESTE,09/12/2021,513,1294,1000,2024,3474
NORTE-NORESTE,10/12/2021,507,1227,1001,2193,3023
NORTE-NORESTE,11/12/2021,466,1176,1036,2100,2924
NORTE-NORESTE,12/12/2021,462,1182,931,1748,2942
