Tipo,DIRECCION,Mes,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR
DISTRITO,POZA RICA,1,309,28,0.090614887
DISTRITO,POZA RICA,2,256,13,0.05078125
DISTRITO,POZA RICA,3,283,24,0.084805654
DISTRITO,POZA RICA,4,257,13,0.050583658
DISTRITO,PUE ANGELOPOLIS,1,932,40,0.042918455
DISTRITO,PUE ANGELOPOLIS,2,881,41,0.046538025
DISTRITO,PUE ANGELOPOLIS,3,1058,53,0.050094518
DISTRITO,PUE ANGELOPOLIS,4,1031,46,0.044616877
DISTRITO,PUE LA NORIA,1,976,61,0.0625
DISTRITO,PUE LA NORIA,2,1029,59,0.057337221
DISTRITO,PUE LA NORIA,3,1041,66,0.063400576
DISTRITO,PUE LA NORIA,4,1092,69,0.063186813
DISTRITO,PUE LORETO,1,801,51,0.063670412
DISTRITO,PUE LORETO,2,688,23,0.033430233
DISTRITO,PUE LORETO,3,901,48,0.05327414
DISTRITO,PUE LORETO,4,867,36,0.041522491
DISTRITO,PUERTO VALLARTA,1,979,171,0.174668029
